  代码	    名称  版块
SZ000037	深南电A    深圳
SZ000058	深 赛 格   深圳
SZ002239	奥特佳 汽车-特斯拉
SZ002920	德赛西威    汽车
SZ002594	比亚迪 汽车-整车
SH600418	江淮汽车    汽车-整车
SZ002049	紫光国微    芯片
SH603690	至纯科技    芯片-中芯国际
SH603290	斯达半导    芯片-IGBT
SH603976	正川股份    医疗-疫苗
SH603718	海利生物    医疗-疫苗
SH603301	振德医疗    医疗-呼吸机
SZ000796	凯撒旅业    免税
SH600859	王府井 免税
SH601888	中国中免    免税
SH603069	海汽集团    免税
SH600827	百联股份    免税
SH600814	杭州解百    免税
SH600760	中航沈飞    军工
SH600316	洪都航空    军工
SH600685	中船防务    军工-船舶
SH601788	光大证券    券商
SH601878	浙商证券    券商
SZ002797	第一创业    券商
SH600109	国金证券    券商
SH601696	中银证券    券商
SH600918	中泰证券    券商
SH601377	兴业证券    券商
SH601669	中国电建    基建
SZ002949	华阳国际    基建
SZ002457	青龙管业    基建
SH603030	全筑股份    基建
SZ002338	奥普光电    光刻
SH601519	大智慧 互联网金融
SZ000987	越秀金控    互联网金融
SH600291	西水股份    互联网金融
SH600536	中国软件    信创
SZ002987	京北方 信创
SZ002640	跨境通 跨境电商
SZ002769	普路通 跨境电商
SH600961	株冶集团    有色
SH601020	华钰矿业    有色
SZ000807	云铝股份    有色
SZ000426	兴业矿业    有色
SH600338	西藏珠峰    有色
SZ002709	天赐材料    锂电池
SZ002460	赣锋锂业    锂电池
SZ002905	金逸影视    传媒
SZ002164	宁波东力    电气设备
SH603713	密尔克卫    物流
SH600606	XD绿地控   房地产
SZ000620	新华联 房地产
SZ002128	露天煤业    煤炭
SZ002177	御银股份    区块链
SH600988	赤峰黄金    黄金
SZ002425	凯撒文化    游戏
SZ000612	焦作万方    稀土
SZ000758	中色股份    稀土
SH600111	北方稀土    稀土
SH603429	集友股份    电子烟
SH601698	中国卫通    卫星互联网
SZ002241	歌尔股份    消费电子
SZ002475	立讯精密    消费电子
SZ002577	雷柏科技    消费电子-无线耳机
SZ002958	青农商行    银行
SH601077	渝农商行    银行
SZ002839	张家港行    银行
SH600908	无锡银行    银行
SZ002852	道道全 食品
SH603365	水星家纺    纺织服饰
SH601199	江南水务    环保
SH601001	大同煤业    煤炭
SH600881	亚泰集团    水泥
SH600678	四川金顶    水泥
SH600048	保利地产    房地产
SZ000732	泰禾集团    房地产
SZ000656	金科股份    房地产
SZ000069	华侨城Ａ    房地产
SH601012	隆基股份    光伏
SZ002613	北玻股份    光伏
SH603659	璞泰来 锂电池
SZ002558	巨人网络    游戏
SH600584	长电科技    芯片-封测
SH600733	北汽蓝谷    汽车
SH600515	海航基础    免税
SH600318	XD新力金   互联网金融
SH600655	豫园股份    黄金
SZ002392	北京利尔    券商影子股
SH600191	华资实业    券商影子股
SZ002334	英威腾 充电桩
SH601608	中信重工    军工
SH603169	兰石重装    核电
SH600854	春兰股份    家电
SZ000576	广东甘化    农业
SH601628	中国人寿    保险
SH603019	中科曙光    IDC
SZ000851	高鸿股份    IDC
SZ002428	云南锗业    有色
SZ002721	金一文化    互联网金融
SZ000800	一汽解放    汽车
SH600075	新疆天业    基建
SH600199	金种子酒    酿酒
SZ002304	洋河股份    酿酒
